dist,p,n,size_mom,size_bs,size_ht,pow_mom,pow_bs,pow_ht
gauss,50,100,0.049,0.021,0.047,0.273,0.311,0.275
gauss,50,200,0.049,0.032,0.05,0.532,0.818,0.775
gauss,100,100,0.054,0.008,,0.55,0.613,
gauss,100,200,0.052,0.019,0.047,0.888,0.995,0.952
gauss,200,100,0.055,0.002,,0.822,0.817,
gauss,200,200,0.052,0.006,,0.991,1.0,
t5,50,100,0.049,0.016,0.055,0.282,0.32,0.291
t5,50,200,0.053,0.029,0.051,0.546,0.812,0.782
t5,100,100,0.047,0.003,,0.558,0.595,
t5,100,200,0.044,0.018,0.046,0.896,0.994,0.955
t5,200,100,0.06,0.003,,0.834,0.796,
t5,200,200,0.047,0.007,,0.996,1.0,
t3,50,100,0.046,0.009,0.055,0.301,0.266,0.352
t3,50,200,0.052,0.016,0.042,0.57,0.771,0.858
t3,100,100,0.045,0.002,,0.682,0.533,
t3,100,200,0.041,0.015,0.048,0.934,0.966,0.977
t3,200,100,0.05,0.001,,0.911,0.73,
t3,200,200,0.052,0.003,,0.997,0.983,
